;;Employment and vulnerabilities;;;;;;;;Old age pension recipient;;;Suicide rates;
146;Pakistan;56.3;..;7.7;5.5;..;57;84;26.5;2.3;..;..;..;..
147;Kenya;75.6;..;..;..;25.9;33.6;90;60;7.9;..;..;..;..
148;Swaziland;56.1;..;..;28.2;7.3;..;..;49.5;86;..;..;..;..
149;Angola;75.5;..;..;..;23.5;..;90;36;14.5;..;..;..;..
150;Myanmar;83.1;..;..;..;..;60.8;..;72.4;..;..;..;..;..
151;Rwanda;92.6;..;..;..;28.5;87.4;84;63.2;4.7;..;..;..;..
152;Cameroon;80.5;..;..;3.8;41.7;..;98;61.4;12.5;5.9;20.2;..;..
152;Nigeria;61.7;..;..;23.9;24.7;79.2;84;41.5;..;..;..;..;..
154;Yemen;50;..;33.7;16.2;22.7;33.5;70;17;8.5;..;..;..;..
155;Madagascar;91.4;..;..;3.8;28.1;88.1;98;79.7;4.6;..;..;..;..
156;Zimbabwe;88.6;..;..;5.4;..;87.1;98;48.8;6.2;..;..;..;..
157;Papua New Guinea;77.9;..;..;..;..;..;..;..;0.9;..;..;..;..
157;Solomon Islands;72.8;..;..;..;..;44.2;..;..;13.1;..;..;..;..
159;Comoros;62.4;..;..;..;27.1;61.2;..;88;..;..;..;..;..
159;Tanzania (United Republic of);91.9;87.7;7.1;4.3;21.1;84.7;84;16.3;3.2;..;..;..;..
161;Mauritania;44.5;..;..;10.1;14.6;..;98;58.8;9.3;..;..;..;..
162;Lesotho;59.9;..;34.4;24.4;22.9;51.2;84;45.1;100;100;100;..;..
163;Senegal;75.5;..;..;10.4;16.5;61.1;98;74.6;23.5;..;..;..;..
164;Uganda;86.8;..;5.4;9.1;25.4;61.7;60;29.9;6.6;..;..;..;..
165;Benin;80.8;89.9;..;..;45.6;71.3;98;80.2;9.7;..;..;..;..
166;Sudan;55.1;..;22.9;19.8;..;..;56;59.3;4.6;..;..;..;..
166;Togo;83.9;89.1;..;..;28.3;66.7;98;77.9;10.9;..;..;..;..
168;Haiti;75.5;..;..;..;24.4;..;42;79.7;1;..;..;0;0
169;Afghanistan;52.2;..;..;8.5;10.3;73.6;..;37.4;10.7;..;..;..;..
170;Djibouti;..;..;..;..;7.7;..;..;92;12;..;..;..;..
171;Cªte d'Ivoire;73.1;..;..;..;26;45.5;98;65;7.7;..;..;..;..
172;Gambia;80.4;..;..;..;19.2;54.5;..;52.5;10.8;..;..;..;..
173;Ethiopia;84.1;..;..;17.5;27.4;73.1;90;6.6;9;..;..;..;..
174;Malawi;91.8;..;..;..;25.7;89.3;56;..;4.1;..;..;..;..
175;Liberia;72;78.7;5.1;3.7;20.8;94.4;90;3.6;..;..;..;..;..
176;Mali;65.5;82.9;..;7.3;21.4;77.7;98;80.8;5.7;3.7;8.5;..;..
177;Guinea-Bissau;77.8;..;..;..;38;..;..;24.1;6.2;..;..;..;..
178;Mozambique;89.4;87.8;..;22.5;22.2;81.1;60;47.9;17.3;15.9;20;..;..
179;Guinea;79;..;..;1.7;40.1;70.2;98;43.2;8.8;..;..;..;..
180;Burundi;87.8;94.6;..;..;26.3;89.8;84;75.2;4;2;6.8;..;..
181;Burkina Faso;85.5;89.6;..;2.3;39.2;81.1;98;76.9;3.2;0.5;7.1;..;..
182;Eritrea;83.9;..;..;..;..;73.1;..;..;..;..;..;..;..
183;Sierra Leone;76.7;..;..;2.8;26;78.2;84;78;0.9;..;..;..;..
184;Chad;76.7;..;..;..;26.1;80.4;98;15.7;1.6;..;..;..;..
185;Central African Republic;82.3;..;..;..;28.5;77.5;..;61;..;..;..;..;..
186;Congo (Democratic Republic of the);82.2;..;..;..;15;82.2;98;27.8;15;..;..;..;..
187;Niger;66;84.8;..;..;42.8;73.7;98;31.8;6.1;..;..;..;..
OTHER COUNTRIES OR TERRITORIES;;;;;;;;;;;;;;
;Korea (Democratic People's Rep. of);79.1;..;..;..;..;60.8;..;100;..;..;..;..;..
;Marshall Islands;..;..;..;..;..;..;..;95.9;64.2;..;..;..;..
;Monaco;..;..;..;..;..;..;..;100;..;..;..;..;..
;Nauru;..;..;..;..;..;..;..;82.6;56.5;..;..;..;..
;San Marino;..;..;..;..;..;..;..;100;..;..;..;..;..
;Somalia;59.2;..;..;..;49;74.5;..;3;..;..;..;..;..
;South Sudan;..;..;..;..;..;..;..;35.4;..;..;..;..;..
;Tuvalu;..;..;..;..;..;..;..;49.9;19.5;..;..;..;..
;;;;;;;;;;;;;;
;Human Development Groups;;;;;;;;;;;;;
;Very high human development;58.7;..;18.3;7.9;..;..;„;99.9;..;87.5;97.5;6.6;20.5
;High human development;68.1;..;16.2;5.4;..;..;„;..;..;..;..;..;..
;Medium human development;63.7;..;..;8.3;11.8;60.5;„;57.2;..;..;..;..;..
;Low human development;72.2;..;..;..;25.2;74.9;„;40.3;..;..;..;..;..
;;;;;;;;;;;;;;
;Regions;;;;;;;;;;;;;
;Arab States;52.7;..;24.6;10.4;..;..;„;80.8;..;..;..;..;..
;East Asia and the Pacific;72.8;..;..;..;..;..;„;79;..;..;..;..;..
;Europe and Central Asia;56.5;..;19.2;8.3;4.7;19.7;„;96.5;..;..;..;5.5;23.9
;Latin America and the Caribbean;67.3;..;14;6.6;11.1;..;„;92.5;..;..;..;2;8.1
;South Asia;60.9;..;..;8.6;12.3;74.2;„;41.3;..;..;..;..;..
;Sub-Saharan Africa;75;..;..;..;26.2;71.1;„;43.5;..;..;..;..;..
;;;;;;;;;;;;;;
;Least developed countries;77.8;..;..;..;23.5;77.8;„;38.1;..;..;..;..;..
;Small island developing states;65.7;..;..;..;..;..;„;..;..;..;..;..;..
;;;;;;;;;;;;;;
;World;65.4;..;..;7.5;..;..;„;62.3;..;..;..;..;..
;;;;;;;;;;;;;;
;NOTES;;;;;;;;;;;;;
