South Africa;2012 N;0.041;10.3;0.044;11.1;5400;39.6;17.1;1.3;8.4;61.4;30.2;13.77;23
Suriname;2010 M;0.033;7.6;0.024;5.9;40;43.1;4.7;2;31;37.2;31.8;..;..
Swaziland;2010 M;0.113;25.9;0.086;20.4;309;43.5;20.5;7.4;13.7;41;45.3;40.63;63
Syrian Arab Republic;2006 M;0.024;6.4;0.021;5.5;1197;38;7.7;0.9;44.4;43.1;12.5;1.71;..
Tajikistan;2012 D;0.031;7.9;0.054;13.2;629;39;23.4;1.2;13.4;52.6;34;6.56;46.7
Tanzania (United Republic of);2010 D;0.335;66.4;0.332;65.6;29842;50.4;21.5;32.1;16.9;28.2;54.9;67.87;28.2
Thailand;2005/2006 M;0.004;1;0.006;1.6;664;38.8;4.4;0.1;19.4;51.3;29.4;0.38;13.2
The former Yugoslav Republic of Macedonia;2011 M;0.007;1.7;0.002;0.7;36;38.4;2.4;0.1;18.5;57.2;24.3;0.6;19
Timor-Leste;2009/2010 D;0.322;64.3;0.36;68.1;694;50.1;21.4;31.5;20;30.4;49.6;..;49.9
Togo;2010 M;0.26;50.9;0.25;49.8;3207;51.2;20.3;26.4;28.9;25;46.1;28.22;58.7
Trinidad and Tobago;2006 M;0.007;1.7;0.02;5.6;23;38;0.5;0.2;2.2;86.1;11.7;..;..
Tunisia;2011/2012  M;0.006;1.5;0.004;1.2;161;39.3;3.2;0.2;33.7;48.2;18.1;;
Uganda;2011 D;0.359;70.3;0.367;69.9;24712;51.1;20.6;33.3;18;30.2;51.9;38.01;24.5
Ukraine;2007 D;0.002;0.6;0.008;2.2;264;34.3;0.2;0;1;95.1;3.8;0.02;2.9
Uzbekistan;2006 M;0.013;3.5;0.008;2.3;935;36.6;6.2;0.1;3.7;83.4;12.8;..;..
Vanuatu;2007 M;0.135;31.2;0.129;30.1;69;43.1;32.6;7.3;24.4;24.1;51.6;..;..
Viet Nam;2010/2011 M;0.026;6.4;0.017;4.2;5796;40.7;8.7;1.3;35.9;25.7;38.4;16.85;20.7
Yemen;2006 M;0.191;37.5;0.283;52.5;7741;50.9;16.7;18.4;33.4;21.3;45.3;17.53;34.8
Zambia;2007 D;0.318;62.8;0.328;64.2;7600;50.7;18.7;31.3;16.3;29.4;54.3;74.45;60.5
Zimbabwe;2010/2011 D;0.181;41;0.172;39.1;5482;44.1;24.9;12.2;7.8;37.9;54.3;..;72.3
