HDI rank;Country;Human Development Index (HDI,Value);Inequality in life expectancy %;Inequality in education %; Inequality in income %;Quintile ratio (2003-2012)
89;Thailand;0.722;9.8;16.1;34;6.9
90;Tunisia;0.721;10.6;..;..;6.4
91;China;0.719;9.8;..;29.5;10.1
91;Saint Vincent and the Grenadines;0.719;12.9;..;..;..
93;Algeria;0.717;16.7;..;..;..
93;Dominica;0.717;..;..;..;..
95;Albania;0.716;9.9;11.9;18.3;5.3
96;Jamaica;0.715;15;10.6;30.1;9.6
97;Saint Lucia;0.714;9.9;..;..;..
98;Colombia;0.711;13.5;22.1;41.5;20.1
98;Ecuador;0.711;13.4;21.6;32.1;12.5
100;Suriname;0.705;13.6;19.5;37.3;17.9
100;Tonga;0.705;13.7;..;..;..
102;Dominican Republic;0.7;16.9;24;29.3;11.3
103;Maldives;0.698;8.1;41.2;23.2;6.8
103;Mongolia;0.698;16.6;5.2;12.3;6.2
103;Turkmenistan;0.698;26;..;..;..
106;Samoa;0.694;13.3;..;..;..
107;Palestine, State of;0.686;13.1;6.9;15;5.8
108;Indonesia;0.684;16.4;23.2;17.7;6.3
109;Botswana;0.683;21.9;32.1;55.5;..
110;Egypt;0.682;13.4;40.9;14.2;4.4
111;Paraguay;0.676;19.2;17.2;34.6;17.3
112;Gabon;0.674;28;23.5;20.4;7.8
113;Bolivia (Plurinational State of);0.667;24.5;27.6;36.1;27.8
114;Moldova (Republic of);0.663;11;6.1;18.9;5.3
115;El Salvador;0.662;14.5;30.2;34;14.3
116;Uzbekistan;0.661;24.3;1.4;20.1;6.2
117;Philippines;0.66;15.2;13.5;25.2;8.3
118;South Africa;0.658;25.7;18.1;..;25.3
118;Syrian Arab Republic;0.658;12.6;31.5;18.3;5.7
120;Iraq;0.642;17.6;29.8;16.1;4.6
121;Guyana;0.638;19.2;10.5;24.4;..
121;Viet Nam;0.638;12.1;18;14.6;5.9
123;Cape Verde;0.636;12;18.2;28;..
124;Micronesia (Federated States of);0.63;19.8;..;63.1;..
125;Guatemala;0.628;17.4;36.1;42.5;19.6
125;Kyrgyzstan;0.628;20;6.6;24.1;5.4
127;Namibia;0.624;21.7;27.8;68.3;21.8
128;Timor-Leste;0.62;22.8;47.6;17.8;..
129;Honduras;0.617;17;29.6;46.8;29.7
129;Morocco;0.617;16.8;45.8;23;7.3
131;Vanuatu;0.616;15.4;..;18.5;..
132;Nicaragua;0.614;13.2;33.3;31;7.6
133;Kiribati;0.607;20.6;21.4;48.4;..
133;Tajikistan;0.607;29.3;12.2;15;4.7
135;India;0.586;25;42.1;16.1;5
136;Bhutan;0.584;22.2;13.3;25.1;6.8
136;Cambodia;0.584;25.3;28.3;20.3;5.6
138;Ghana;0.573;30.8;35.6;27.2;9.3
139;Lao People's Democratic Republic;0.569;21.5;34.1;16.8;5.9
140;Congo;0.564;36;25.4;30.3;10.7
141;Zambia;0.561;37.2;23.8;42.6;17.4
142;Bangladesh;0.558;20.1;37.8;28.3;4.7
142;Sao Tome and Principe;0.558;26.9;20;44.2;..
144;Equatorial Guinea;0.556;44.4;..;..;..
145;Nepal;0.54;21.1;44;18.3;5
146;Pakistan;0.537;29.9;45.2;11;4.2
147;Kenya;0.535;31.5;30.7;36;11
148;Swaziland;0.53;35;26.8;37.6;14
149;Angola;0.526;46.2;34.6;50;9
150;Myanmar;0.524;27.1;19.4;..;..
151;Rwanda;0.506;30.2;29.4;39.6;11
152;Cameroon;0.504;39.4;34.8;23.1;6.9
152;Nigeria;0.504;40.8;45.2;34.5;12.2
154;Yemen;0.5;30.3;47.2;17.6;6.3
155;Madagascar;0.498;24.8;30.1;36.1;9.3
156;Zimbabwe;0.492;26.8;17.8;35.8;..
157;Papua New Guinea;0.491;26.5;11.5;..;..
157;Solomon Islands;0.491;22.3;22.8;26.3;..
159;Comoros;0.488;34.2;47.4;..;26.7
159;Tanzania (United Republic of);0.488;30.4;29.5;20.9;6.6
161;Mauritania;0.487;36.6;45.9;21.2;7.8
162;Lesotho;0.486;33.5;24.3;47;19
163;Senegal;0.485;29.5;44.6;22.7;7.7
164;Uganda;0.484;33.8;31.2;27.3;8.7
165;Benin;0.476;37;42;23.6;6.6
166;Sudan;0.473;32.8;..;..;6.2
166;Togo;0.473;36.8;37.6;23.5;7.6
168;Haiti;0.471;27.9;40.4;48.4;..
169;Afghanistan;0.468;34.3;45;10.8;4
170;Djibouti;0.467;32.5;47;21.7;..
171;CÈte d'Ivoire;0.452;40.2;45.4;28.1;8.5
172;Gambia;0.441;34.8;..;26.9;11
173;Ethiopia;0.435;30.2;44.3;9.5;5.3
174;Malawi;0.414;40;30.2;24.6;8.9
175;Liberia;0.412;33.1;46.4;19;7
176;Mali;0.407;45.6;36.9;..;5.2
177;Guinea-Bissau;0.396;45.3;40.3;32.5;..
178;Mozambique;0.393;40.2;18.2;28.4;9.8
179;Guinea;0.392;40.3;42;31.1;7.3
180;Burundi;0.389;43.6;41;13.2;4.8
181;Burkina Faso;0.388;41.1;38.5;24.2;7
182;Eritrea;0.381;24.7;..;..;..
183;Sierra Leone;0.374;51.2;48.7;31;5.6
184;Chad;0.372;46.1;43.4;21;7.4
185;Central African Republic;0.341;45.7;45.9;28.1;18
186;Congo (Democratic Republic of the);0.338;49.9;29.4;31.2;9.3
187;Niger;0.337;37.9;39.5;17.9;5.3
;Korea (Democratic People's Rep. of);..;15.4;..;..;..
;Marshall Islands;..;..;..;..;70
;Monaco;..;..;..;..;..
;Nauru;..;..;..;..;..
;San Marino;..;..;..;..;..
;Somalia;..;42.1;..;..;..
;South Sudan;..;40.8;..;..;..
;Tuvalu;..;..;10.5;..;..
;Very high human development;0.89;4.9;8.7;22.4;..
;High human development;0.735;10.7;17.4;29.9;..
;Medium human development;0.614;21.9;35.1;18.6;..
;Low human development;0.493;35;38.2;23.9;..
;Arab States;0.682;17.4;38;17.3;..
;East Asia and the Pacific;0.703;11.7;19.7;27;..
;Europe and Central Asia;0.738;14.2;8.6;16.9;..
;Latin America and the Caribbean;0.74;13.2;22.2;36.3;..
;South Asia;0.588;24.4;41.6;18;..
;Sub-Saharan Africa;0.502;36.6;35.7;28.1;..
;Least developed countries;0.487;32.3;35.6;24.7;..
;World;0.702;17.3;27;24.1;..
